City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
225,Muscat,OM,23.61,58.59,66.2,63,1,3.36,clear sky
226,Cidreira,BR,-30.18,-50.21,65.26,89,100,18.54,light rain
227,Suifenhe,CN,44.4,131.17,44.76,58,11,6.87,few clouds
228,Phuket,TH,8.0,98.25,84.99,88,75,5.82,broken clouds
229,Chalons-En-Champagne,FR,48.95,4.37,59.0,93,100,10.29,light rain
230,Fukue,JP,32.69,128.84,66.2,88,75,6.93,shower rain
231,Saint George,US,37.1,-113.58,69.8,14,1,6.93,clear sky
232,Kungurtug,RU,50.6,97.52,37.81,67,3,1.7,clear sky
233,Ponta Delgada,PT,37.73,-25.67,60.8,72,75,9.17,broken clouds
234,Ust-Maya,RU,60.42,134.53,23.49,96,100,8.93,light snow
235,Clayton,US,33.53,-84.37,69.8,83,20,6.93,few clouds
236,San Rafael,AR,-34.62,-68.33,53.55,71,8,6.17,clear sky
237,Kitimat,CA,54.05,-128.65,36.0,93,24,2.08,few clouds
238,Adrar,MR,20.5,-10.07,82.44,19,12,4.85,few clouds
239,Niono,ML,14.25,-5.99,81.36,20,0,5.57,clear sky
240,Montrose,US,38.42,-108.27,66.2,12,1,11.41,clear sky
241,Namibe,AO,-15.2,12.15,69.64,82,37,2.28,scattered clouds
242,Faya,SA,18.39,42.45,57.2,19,81,4.7,broken clouds
243,Saint-Francois,FR,46.42,3.91,63.0,82,96,2.24,overcast clouds
244,Tocache,PE,-8.18,-76.51,69.24,87,78,0.74,broken clouds
245,Marystown,CA,47.17,-55.15,53.01,100,98,3.0,light rain
246,Mount Isa,AU,-20.73,139.5,100.4,17,40,6.93,scattered clouds
247,Caconda,AO,-13.73,15.07,59.02,74,10,3.18,clear sky
248,Ossora,RU,59.24,163.07,42.3,87,100,6.42,overcast clouds
249,Lompoc,US,34.64,-120.46,59.0,87,90,3.36,overcast clouds
250,Guerrero Negro,MX,27.98,-114.06,67.89,87,1,11.63,clear sky
251,Umm Lajj,SA,25.02,37.27,86.31,21,0,18.01,clear sky
252,Harper,LR,4.38,-7.72,77.25,87,92,4.41,light rain
253,Namatanai,PG,-3.67,152.43,85.41,65,1,7.72,clear sky
254,Chatellerault,FR,46.8,0.53,55.99,93,74,4.7,broken clouds
255,Uaua,BR,-9.84,-39.48,69.96,84,0,14.09,clear sky
256,Kahului,US,20.89,-156.47,89.6,35,20,6.93,few clouds
257,Provideniya,RU,64.38,-173.3,41.0,86,75,8.95,broken clouds
258,Chapais,CA,49.78,-74.85,32.0,98,90,9.17,overcast clouds
259,Pryazha,RU,61.69,33.62,28.4,92,100,4.47,overcast clouds
260,Kutum,SD,14.2,24.67,71.11,21,0,11.7,clear sky
261,San Pedro,PH,14.35,121.02,87.01,74,40,5.82,scattered clouds
262,Broome,US,42.25,-75.83,64.0,87,90,6.93,overcast clouds
263,Harwich,GB,51.94,1.28,55.0,83,0,8.99,clear sky
264,Ati,TD,13.22,18.34,80.98,16,0,6.26,clear sky
265,Chegem,RU,43.28,43.13,44.6,70,90,4.47,overcast clouds
266,Darnah,LY,32.77,22.64,68.86,64,16,13.11,light rain
267,Ayagoz,KZ,47.97,80.44,51.85,40,89,17.52,overcast clouds
268,Baghdad,IQ,33.34,44.4,64.4,45,0,5.82,clear sky
269,Morros,BR,-9.45,-46.3,82.13,30,50,4.07,scattered clouds
270,Ancud,CL,-41.87,-73.82,42.01,93,30,2.24,scattered clouds
271,Sorong,ID,-0.88,131.25,83.43,74,56,6.64,light rain
272,Ajdabiya,LY,30.76,20.23,64.53,50,14,6.55,few clouds
273,San Felipe,VE,10.34,-68.74,73.62,89,13,2.82,few clouds
274,Betong,TH,5.77,101.07,75.22,86,100,1.01,moderate rain
275,Awbari,LY,26.59,12.78,68.09,49,0,8.97,clear sky
276,Mpongwe,ZM,-13.51,28.16,70.99,48,9,9.75,clear sky
277,Pavlogradka,RU,54.2,73.56,35.56,82,69,14.85,broken clouds
278,Ewa Beach,US,21.32,-158.01,84.2,70,90,9.17,overcast clouds
279,Oksfjord,NO,70.24,22.35,24.8,79,38,12.75,scattered clouds
280,Sitka,US,57.05,-135.33,35.6,43,1,9.17,clear sky
281,Belmonte,BR,-15.86,-38.88,77.0,78,75,8.05,broken clouds
282,Erenhot,CN,43.65,111.98,34.56,66,0,12.03,clear sky
283,Beringovskiy,RU,63.05,179.32,39.92,82,58,5.88,broken clouds
284,Peniche,PT,39.36,-9.38,55.99,90,22,9.35,light rain
285,Minab,IR,27.15,57.08,57.2,50,0,4.7,clear sky
286,Nanakuli,US,21.39,-158.15,84.2,70,90,9.17,overcast clouds
287,Deputatskiy,RU,69.3,139.9,9.18,96,100,1.39,overcast clouds
